City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.13,76,100,3.21,PN,1706215443
1,turkmenbasy,40.0222,52.9552,-4.57,86,0,6.17,TM,1706215443
2,dhalie,13.6957,44.7314,16.55,85,42,0.99,YE,1706215443
3,port-aux-francais,-49.35,70.2167,5.2,67,98,12.73,TF,1706215444
4,salekhard,66.53,66.6019,-12.67,96,98,2.65,RU,1706215444
5,grytviken,-54.2811,-36.5092,3.62,78,76,6.13,GS,1706215444
6,happy valley-goose bay,53.3168,-60.3315,-13.83,47,0,5.14,CA,1706215444
7,blackmans bay,-43.0167,147.3167,15.41,59,33,0.89,AU,1706215444
8,bilibino,68.0546,166.4372,-37.58,100,76,1.48,RU,1706215445
9,shiguai,40.7058,110.2856,-18.4,77,1,2.2,CN,1706215445
10,hasaki,35.7333,140.8333,2.22,42,0,6.46,JP,1706215445
11,yinchuan,38.4681,106.2731,-8.44,40,55,1.16,CN,1706215445
12,margaret river,-33.95,115.0667,11.35,83,3,3.79,AU,1706215445
13,batyrevo,55.0675,47.6111,-13.17,88,100,2.92,RU,1706215445
14,santa cruz de yojoa,14.9833,-87.9,31.61,44,35,2.28,HN,1706215446
15,longyearbyen,78.2186,15.6401,1.91,75,75,2.57,SJ,1706215446
16,masterton,-40.9597,175.6575,18.82,41,0,2.36,NZ,1706215446
17,kavarna,43.4333,28.3333,5.32,80,94,4.46,BG,1706215446
18,arraial do cabo,-22.9661,-42.0278,24.98,88,75,4.63,BR,1706215447
19,puerto ayora,-0.7393,-90.3518,29.98,89,52,3.13,EC,1706215447
20,gisborne,-38.6533,178.0042,17.61,55,26,3.51,NZ,1706215447
21,port alfred,-33.5906,26.891,21.74,83,22,8.43,ZA,1706215447
22,iqaluit,63.7506,-68.5145,-30.15,67,100,2.06,CA,1706215447
23,puerto natales,-51.7236,-72.4875,17.25,39,75,10.29,CL,1706215448
24,saint-pierre,-21.3393,55.4781,23.82,94,100,2.57,RE,1706215448
25,northam,51.0333,-4.2167,12.92,97,100,10.24,GB,1706215448
26,port mathurin,-19.6833,63.4167,28.18,86,99,10.69,MU,1706215448
27,albany,42.6526,-73.7562,9.21,89,100,1.54,US,1706215240
28,lebu,-37.6167,-73.65,19.26,78,66,4.31,CL,1706215449
29,kurumkan,54.3,110.3,-19.37,93,100,0.45,RU,1706215449
30,trino,45.1921,8.2961,11.94,88,80,1.35,IT,1706215449
31,edinburgh of the seven seas,-37.0676,-12.3116,17.04,87,100,3.75,SH,1706215449
32,nagqu,31.5,92.0,-16.21,75,96,0.8,CN,1706215449
33,comalapa,14.7411,-90.8875,22.96,43,11,1.67,GT,1706215450
34,tiksi,71.6872,128.8694,-25.03,98,100,4.18,RU,1706215450
35,avarua,-21.2078,-159.775,28.03,83,75,6.69,CK,1706215450
36,port hedland,-20.3167,118.5667,27.03,83,100,3.6,AU,1706215450
37,kavieng,-2.5744,150.7967,28.03,77,100,1.19,PG,1706215451
38,bredasdorp,-34.5322,20.0403,20.32,79,100,0.72,ZA,1706215451
39,lazaro cardenas,17.9583,-102.2,28.8,58,0,4.39,MX,1706215277
40,enewetak,11.3474,162.3373,26.28,64,60,7.33,MH,1706215451
41,waitangi,-43.9535,-176.5597,13.79,95,100,2.68,NZ,1706215451
42,rifle,39.5347,-107.7831,7.99,64,0,1.4,US,1706215452
43,ratnagiri,16.9833,73.3,21.58,52,6,2.1,IN,1706215452
44,moram,17.8,76.4667,19.47,45,0,4.67,IN,1706215452
45,ushuaia,-54.8,-68.3,17.79,45,0,5.14,AR,1706215452
46,bhisho,-32.8472,27.4422,17.55,90,2,2.35,ZA,1706215453
47,bamboo flat,11.7,92.7167,27.05,83,75,2.06,IN,1706215453
48,punta arenas,-53.15,-70.9167,18.06,36,0,9.26,CL,1706215453
49,jamestown,42.097,-79.2353,9.8,99,100,0.45,US,1706215159
50,orsa,61.1203,14.6155,-1.9,100,100,0.0,SE,1706215453
